"name","alternative_names","website","since_date","renewed_date","until_date","reason"
"Samsung","Samsung Galaxy"," https://www.samsung.com",2026-08-13,,2027-01-01,"Video blocking advertisements; YouTube ads"
"Volvo","Volvo Cars"," https://www.volvocars.com",2026-08-13,,2027-01-01,"Video blocking advertisements; YouTube ads"
"Bol.com",," https://www.bol.com",2026-08-13,,2027-07-01,"Video blocking advertisements; YouTube ads"
"Deel",," https://www.deel.com",2026-08-13,,,"Video blocking advertisements; YouTube ads; Discriminatory"
